How do you initialize a new Git repository?;git init
How do you check your Git version?;git --version
How do you clone a remote repository?;git clone
How do you add a specific file to staging?;git add file
How do you add all changes to staging?;git add .
How do you commit with a message?;git commit -m message
How do you see what will be committed?;git status
How do you commit all tracked files?;git commit -a -m message
How do you see commit history?;git log
How do you see compact commit history?;git log --oneline
How do you see changes in a commit?;git show commit-id
How do you see last N commits?;git log -n
How do you list all branches?;git branch
How do you switch to a branch?;git checkout branch
How do you merge a branch?;git merge branch
How do you push to remote?;git push origin main
How do you pull from remote?;git pull origin main
How do you see remote branches?;git branch -r
How do you get changes without merging?;git fetch
How do you run a container from an image?;docker run
How do you run a container in background?;docker run -d
How do you name a container?;docker run --name mycontainer
How do you list running containers?;docker ps
How do you  list ALL containers?;docker ps -a
How do you stop a container?;docker stop
How do you remove a container?;docker rm
How do you list images?;docker images
How do you pull image from registry?;docker pull image
How do you push image to registry?;docker push image
How do you see image history?;docker history
How do you see Docker info?;docker info
How do you see Docker version?;docker version
How do you create and switch to a new branch?;git checkout -b new-branch
How do you delete a local branch?;git branch -d branch-name
How do you unstage a file?;git reset HEAD filename
How do you discard changes in a specific file?;git checkout -- filename
How do you see differences in unstaged files?;git diff
How do you stash changes temporarily?;git stash
How do you apply the last stashed changes?;git stash pop
How do you view configured remote URLs?;git remote -v
How do you add a new remote repository?;git remote add origin url
How do you see who changed each line of a file?;git blame filename
How do you build an image from a Dockerfile?;docker build -t image-name .
How do you enter a running container?;docker exec -it container-id bash
How do you view container logs?;docker logs container-id
How do you remove a Docker image?;docker rmi image-id
How do you list Docker networks?;docker network ls
How do you list Docker volumes?;docker volume ls
How do you inspect a container or image details?;docker inspect object-id
How do you remove all unused Docker objects?;docker system prune
